Name,QueryIni,ISO3166
Cruzada Estudiantil - Dominican Republic,https://tntdataserver.com/dataserver/dom/dataquery/tntquery.aspx,dom
Cruzada Estudiantil - El Salvador,https://tntdataserver.com/dataserver/els/dataquery/tntquery.aspx,slv
Cruzada Estudiantil - Guatemala,https://tntdataserver.com/dataserver/gtm/dataquery/tntquery.aspx,gtm
Cruzada Estudiantil - Honduras,https://tntdataserver.com/dataserver/hnd/dataquery/tntquery.aspx,hnd
Cruzada Estudiantil - Mexico,https://tntdataserver.com/dataserver/mex/dataquery/tntquery.aspx,mex
DiscipleMakers,https://staff.dm.org/tntmpd_connector/query.ini,
DonorElf,https://app.donorelf.com/tntmpd_query.ini,
e3 Partners Ministry,http://www.e3portal.org/cms/query.ini,
Every Nation Ministries - USA,https://admin.everynation.org/tntmpd/tntquery/ENM-USA,
FOCUS,https://tnt.focusonline.org/dataserver/focus/dataquery/TntQuery.aspx,
Food for the Hungry,https://fh1.tntmpd.dwvpn.net:9502/tntmpd/?action=query.ini,
Global Hope Network International,https://www.ghni.org:500/dataserver/orlando-dataserver/dataquery/TntQuery.aspx,
Global Service Network,https://donorlinkonline.com/dataserver/ds_GSN/dataquery/TntQuery.aspx,
Gospel For Asia – CAN,http://www.gfamedia.org/static/ca_query.ini,
Gospel For Asia – USA,http://www.gfamedia.org/static/us_query.ini,
Hesed Consulting,https://donorlinkonline.com/dataserver/ds_hesed/dataquery/TntQuery.aspx,
India Campus Crusade For Christ - Bangalore,https://tntdataserverasia.com/dataserver/ind/dataquery/tntquery.aspx,ind
Instituti Jeta e Re,https://tntdataserver.com/dataserver/alb/dataquery/TntQuery.aspx,alb
"International Friendships, Inc (IFI)",https://ifi-online.org/dataserver/IFI-Online/dataquery/TntQuery.aspx,
International Graduate School of Leadership (IGSL),https://tntdataserverasia.com/dataserver/IGSL/dataquery/tntquery.aspx,
Kingdom Mobilization,https://donorlinkonline.com/dataserver/ds_kingdommobilization/dataquery/TntQuery.aspx,
LA 2020,https://tntdataserver.com/dataserver/hza/dataquery/tntquery.aspx,tur
Life Action Ministries,https://tntmpd.lifeaction.net/dataserver/TntMPD_DataServer/dataquery/TntQuery.aspx,
Living Waters Canada,https://tntdataserver.com/dataserver/LivingWatersCanada/dataquery/TntQuery.aspx,
Master Plan Ministries,https://tntdataserver.com/dataserver/masterplanministries/dataquery/TntQuery.aspx,
Mission Aviation Fellowship,https://tools.maf.org/dataserver/mafus/dataquery/TntQuery.aspx,
Missions Door,https://myinfo.missionsdoor.org/dataserver/md/dataquery/TntQuery.aspx,
New Life Moldova,https://www.tntdataserver.com/dataserver/mol/dataquery/TntQuery.aspx,mda
Nova Nadezh,https://tntdataserver.com/dataserver/mkd/dataquery/TntQuery.aspx,mkd
Novy zivot,https://tntdataserver.eu/dataserver/cze/dataquery/TntQuery.aspx,cze
Ruch Nowego Zycia - POLAND,https://tntdataserver.eu/dataserver/plr/dataquery/TntQuery.aspx,pol
Obra Social Agape,https://tntdataserver.eu/dataserver/spo/dataquery/TntQuery.aspx,
Perspectives,https://remote.thecmm.net/dataserver/TNT-USCWM-PSP/dataquery/tntquery.aspx,
Power to Change - Canada,http://tntmpd.powertochange.org/tntmpd/Query.ini,can
Power to Change - Canada (Intl.),http://tntmpd.powertochange.org/intl/Query.ini,
SIM USA,https://tntweb.sim.org/dataserver/simusa/dataquery/tntquery.aspx,
Tandem Ministries,https://tntdataserverasia.com/dataserver/nzl/dataquery/tntquery.aspx,nzl
Tandem Ministries - Family Life,https://tntdataserverasia.com/dataserver/nzlfl/dataquery/tntquery.aspx,
TeachBeyond - Canada,https://tnt.teachbeyond.org/Canada/dataquery/TntQuery.aspx,
